"GRIDSQ","CTRX","CTRY","RESPOP11"
"HP5303",453500,1203500,151
"HP5304",453500,1204500,18
"HP5803",458500,1203500,63
"HP5900",459500,1200500,27
"HP6000",460500,1200500,61
"HP6008",460500,1208500,16
"HP6009",460500,1209500,25
"HP6108",461500,1208500,26
"HP6109",461500,1209500,34
"HP6113",461500,1213500,26
"HP6208",462500,1208500,100
"HP6209",462500,1209500,75
"HP6309",463500,1209500,48
"HP6310",463500,1210500,0
"HP6312",463500,1212500,34
"HP6413",464500,1213500,97
"HT9738",397500,1138500,38
"HU1760",417500,1160500,15
"HU1950",419500,1150500,56
"HU1957",419500,1157500,167
"HU2148",421500,1148500,105
"HU2246",422500,1146500,2
"HU2349",423500,1149500,57
"HU2379",423500,1179500,67
"HU2449",424500,1149500,181
"HU2450",424500,1150500,51
"HU2651",426500,1151500,31
"HU2657",426500,1157500,35
"HU2778",427500,1178500,4
"HU2849",428500,1149500,61
"HU2877",428500,1177500,94
"HU2944",429500,1144500,143
"HU2952",429500,1152500,10
"HU2980",429500,1180500,36
"HU3050",430500,1150500,11
"HU3078",430500,1178500,76
"HU3144",431500,1144500,18
"HU3152",431500,1152500,40
"HU3156",431500,1156500,115
"HU3176",431500,1176500,12
"HU3244",432500,1144500,87
"HU3274",432500,1174500,7
"HU3347",433500,1147500,16
"HU3350",433500,1150500,18
"HU3352",433500,1152500,66
"HU3357",433500,1157500,85
"HU3369",433500,1169500,23
"HU3447",434500,1147500,48
"HU3453",434500,1153500,12
"HU3455",434500,1155500,154
"HU3464",434500,1164500,130
"HU3467",434500,1167500,86
"HU3475",434500,1175500,1
"HU3477",434500,1177500,38
"HU3482",434500,1182500,44
"HU3548",435500,1148500,42
"HU3551",435500,1151500,78
"HU3557",435500,1157500,67
"HU3565",435500,1165500,43
"HU3567",435500,1167500,63
"HU3568",435500,1168500,313
"HU3572",435500,1172500,64
"HU3632",436500,1132500,227
"HU3635",436500,1135500,82
"HU3636",436500,1136500,85
"HU3661",436500,1161500,21
"HU3666",436500,1166500,20
"HU3667",436500,1167500,233
"HU3668",436500,1168500,54
"HU3680",436500,1180500,131
"HU3684",436500,1184500,38
"HU3689",436500,1189500,106
"HU3714",437500,1114500,123
"HU3717",437500,1117500,77
"HU3732",437500,1132500,81
"HU3733",437500,1133500,35
"HU3735",437500,1135500,299
"HU3736",437500,1136500,43
"HU3765",437500,1165500,18
"HU3770",437500,1170500,26
"HU3809",438500,1109500,30
"HU3810",438500,1110500,55
"HU3811",438500,1111500,111
"HU3812",438500,1112500,99
"HU3814",438500,1114500,9
"HU3816",438500,1116500,88
"HU3821",438500,1121500,270
"HU3844",438500,1144500,147
"HU3849",438500,1149500,117
"HU3850",438500,1150500,206
"HU3910",439500,1110500,0
"HU3911",439500,1111500,128
"HU3915",439500,1115500,183
"HU3937",439500,1137500,135
"HU3938",439500,1138500,77
"HU3939",439500,1139500,102
"HU3940",439500,1140500,4
"HU3945",439500,1145500,126
"HU3947",439500,1147500,97
"HU3948",439500,1148500,67
"HU3953",439500,1153500,70
"HU4009",440500,1109500,9
"HU4015",440500,1115500,71
"HU4016",440500,1116500,50
"HU4021",440500,1121500,168
"HU4023",440500,1123500,13
"HU4038",440500,1138500,99
"HU4039",440500,1139500,980
"HU4040",440500,1140500,12
"HU4051",440500,1151500,48
"HU4062",440500,1162500,74
"HU4063",440500,1163500,16
"HU4064",440500,1164500,268
"HU4072",440500,1172500,0
"HU4073",440500,1173500,16
"HU4123",441500,1123500,98
"HU4124",441500,1124500,27
"HU4135",441500,1135500,75
"HU4139",441500,1139500,30
"HU4141",441500,1141500,39
"HU4145",441500,1145500,0
"HU4155",441500,1155500,1
"HU4223",442500,1123500,0
"HU4224",442500,1124500,391
"HU4235",442500,1135500,187
"HU4239",442500,1139500,1
"HU4244",442500,1144500,181
"HU4245",442500,1145500,0
"HU4268",442500,1168500,13
"HU4323",443500,1123500,175
"HU4324",443500,1124500,102
"HU4325",443500,1125500,177
"HU4328",443500,1128500,148
"HU4329",443500,1129500,134
"HU4330",443500,1130500,91
"HU4332",443500,1132500,83
"HU4337",443500,1137500,64
"HU4338",443500,1138500,323
"HU4344",443500,1144500,33
"HU4345",443500,1145500,73
"HU4346",443500,1146500,123
"HU4350",443500,1150500,124
"HU4376",443500,1176500,27
"HU4430",444500,1130500,238
"HU4438",444500,1138500,44
"HU4439",444500,1139500,134
"HU4446",444500,1146500,161
"HU4473",444500,1173500,106
"HU4474",444500,1174500,117
"HU4475",444500,1175500,71
"HU4539",445500,1139500,307
"HU4540",445500,1140500,560
"HU4541",445500,1141500,55
"HU4542",445500,1142500,0
"HU4543",445500,1143500,0
"HU4554",445500,1154500,146
"HU4575",445500,1175500,202
"HU4582",445500,1182500,36
"HU4588",445500,1188500,56
"HU4640",446500,1140500,1661
"HU4641",446500,1141500,1069
"HU4642",446500,1142500,772
"HU4643",446500,1143500,9
"HU4653",446500,1153500,106
"HU4663",446500,1163500,74
"HU4666",446500,1166500,16
"HU4680",446500,1180500,33
"HU4693",446500,1193500,32
"HU4740",447500,1140500,209
"HU4741",447500,1141500,2161
"HU4743",447500,1143500,19
"HU4745",447500,1145500,0
"HU4759",447500,1159500,61
"HU4765",447500,1165500,9
"HU4778",447500,1178500,11
"HU4840",448500,1140500,109
"HU4841",448500,1141500,54
"HU4864",448500,1164500,21
"HU4865",448500,1165500,161
"HU4869",448500,1169500,30
"HU4939",449500,1139500,127
"HU4940",449500,1140500,58
"HU4941",449500,1141500,84
"HU4943",449500,1143500,32
"HU5041",450500,1141500,48
"HU5080",450500,1180500,54
"HU5090",450500,1190500,45
"HU5190",451500,1190500,93
"HU5191",451500,1191500,74
"HU5192",451500,1192500,68
"HU5198",451500,1198500,5
"HU5279",452500,1179500,129
"HU5283",452500,1183500,28
"HU5294",452500,1194500,5
"HU5297",452500,1197500,33
"HU5386",453500,1186500,61
"HU5389",453500,1189500,8
"HU5461",454500,1161500,123
"HU5462",454500,1162500,393
"HU5463",454500,1163500,183
"HU5498",454500,1198500,26
"HU5564",455500,1164500,154
"HU5662",456500,1162500,43
"HU5665",456500,1165500,72
"HU5764",457500,1164500,68
"HU5866",458500,1166500,25
"HU6290",462500,1190500,61
"HU6871",468500,1171500,74
"HY2303",323500,1003500,45
"HY2309",323500,1009500,117
"HY2318",323500,1018500,17
"HY2320",323500,1020500,32
"HY2408",324500,1008500,96
"HY2409",324500,1009500,15
"HY2416",324500,1016500,31
"HY2420",324500,1020500,58
"HY2421",324500,1021500,23
"HY2423",324500,1023500,50
"HY2425",324500,1025500,101
"HY2427",324500,1027500,54
"HY2508",325500,1008500,739
"HY2509",325500,1009500,625
"HY2510",325500,1010500,155
"HY2511",325500,1011500,24
"HY2512",325500,1012500,38
"HY2513",325500,1013500,114
"HY2514",325500,1014500,4
"HY2515",325500,1015500,7
"HY2516",325500,1016500,43
"HY2518",325500,1018500,21
"HY2519",325500,1019500,50
"HY2520",325500,1020500,46
"HY2524",325500,1024500,27
"HY2527",325500,1027500,35
"HY2528",325500,1028500,34
"HY2605",326500,1005500,28
"HY2609",326500,1009500,269
"HY2610",326500,1010500,71
"HY2611",326500,1011500,23
"HY2613",326500,1013500,23
"HY2618",326500,1018500,41
"HY2621",326500,1021500,17
"HY2622",326500,1022500,58
"HY2625",326500,1025500,27
"HY2627",326500,1027500,46
"HY2715",327500,1015500,62
"HY2716",327500,1016500,24
"HY2719",327500,1019500,26
"HY2720",327500,1020500,36
"HY2724",327500,1024500,15
"HY2726",327500,1026500,23
"HY2810",328500,1010500,27
"HY2821",328500,1021500,75
"HY2822",328500,1022500,41
"HY2823",328500,1023500,14
"HY2825",328500,1025500,1
"HY2826",328500,1026500,3
"HY2828",328500,1028500,28
"HY2908",329500,1008500,69
"HY2909",329500,1009500,46
"HY2911",329500,1011500,75
"HY2920",329500,1020500,178
"HY2921",329500,1021500,103
"HY2928",329500,1028500,60
"HY3005",330500,1005500,111
"HY3007",330500,1007500,7
"HY3011",330500,1011500,85
"HY3012",330500,1012500,4
"HY3017",330500,1017500,52
"HY3019",330500,1019500,47
"HY3020",330500,1020500,54
"HY3021",330500,1021500,100
"HY3024",330500,1024500,30
"HY3105",331500,1005500,41
"HY3115",331500,1015500,55
"HY3117",331500,1017500,29
"HY3118",331500,1018500,84
"HY3128",331500,1028500,8
"HY3204",332500,1004500,89
"HY3205",332500,1005500,23
"HY3210",332500,1010500,41
"HY3212",332500,1012500,57
"HY3213",332500,1013500,14
"HY3215",332500,1015500,91
"HY3216",332500,1016500,80
"HY3217",332500,1017500,39
"HY3312",333500,1012500,10
"HY3313",333500,1013500,6
"HY3315",333500,1015500,49
"HY3327",333500,1027500,52
"HY3328",333500,1028500,34
"HY3405",334500,1005500,38
"HY3411",334500,1011500,16
"HY3413",334500,1013500,15
"HY3506",335500,1006500,181
"HY3513",335500,1013500,248
"HY3514",335500,1014500,30
