quality_grade,observed_on_details.date,species_guess,public_positional_accuracy,taxon.name,geojson.coordinates,owners_identification_from_vision,identifications_count,num_identification_disagreements,location,place_guess,latitude,longitude
research,2022-10-14,Harlekin-Marienkäfer,,Harmonia axyridis,"[-1.5643903997, 55.0189548997]",,2,0,"[55.0189548997, -1.5643903997]","Newcastle upon Tyne NE12, UK",55.0189548997,-1.5643903997
research,2022-05-14,Harlekin-Marienkäfer,10.0,Harmonia axyridis,"[0.282361, 51.116775]",False,2,0,"[51.116775, 0.282361]","Footpath from Tuttys Farm to Windmill Farm, Tunbridge Wells",51.116775,0.282361
research,2022-08-21,Coccinelle asiatique,,Harmonia axyridis,"[-1.306396, 49.6794815]",True,2,0,"[49.6794815, -1.306396]","50760 Gatteville-le-Phare, France",49.6794815,-1.306396
research,2022-06-27,Coccinelle asiatique,15.0,Harmonia axyridis,"[-0.2699054304, 51.3891805409]",False,1,0,"[51.3891805409, -0.2699054304]","Surbiton, UK",51.3891805409,-0.2699054304
research,2022-06-27,Harlekin-Marienkäfer,122.0,Harmonia axyridis,"[-0.2732916826, 51.3932459874]",False,1,0,"[51.3932459874, -0.2732916826]","Surbiton, UK",51.3932459874,-0.2732916826
research,2022-08-30,Harlekin-Marienkäfer,8.0,Harmonia axyridis,"[-2.0788633337, 53.3569472563]",True,1,0,"[53.3569472563, -2.0788633337]","Cheshire East, UK",53.3569472563,-2.0788633337
research,2021-11-17,Asian Lady Beetle,42.0,Harmonia axyridis,"[-0.3122786326, 51.2491810031]",True,1,0,"[51.2491810031, -0.3122786326]","Surrey, UK",51.2491810031,-0.3122786326
research,2022-05-08,Harlekin-Marienkäfer,10.0,Harmonia axyridis,"[0.232106, 51.178884]",False,1,0,"[51.178884, 0.232106]","Footpath from Haysden Lane to Fosters Farm, Upper Haysden",51.178884,0.232106
research,2022-11-29,Harlequin Ladybird,26196.0,Harmonia axyridis,"[-0.1580001375, 51.4313941687]",False,1,0,"[51.4313941687, -0.1580001375]","England, GB",51.4313941687,-0.1580001375
research,2022-08-04,Asian Lady Beetle,12.0,Harmonia axyridis,"[-1.4208352793, 55.0170431093]",,2,0,"[55.0170431093, -1.4208352793]","Tyne and Wear, England, GB",55.0170431093,-1.4208352793
research,2022-10-31,Harlekin-Marienkäfer,,Harmonia axyridis,"[-1.5916666667, 54.7794444444]",,2,0,"[54.7794444444, -1.5916666667]","Durham, UK",54.7794444444,-1.5916666667
research,2022-11-13,Asian Lady Beetle,11.0,Harmonia axyridis,"[1.389407, 51.261993]",False,1,0,"[51.261993, 1.389407]","Sandwich Bay, Kent, UK",51.261993,1.389407
research,2022-05-05,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.188994, 51.080019]",False,1,0,"[51.080019, 0.188994]","Crooked Wood, Boarshead",51.080019,0.188994
research,2022-05-05,Asian Lady Beetle,10.0,Harmonia axyridis,"[0.211736, 51.074797]",False,1,0,"[51.074797, 0.211736]","Footpath from Stitches Farm to Sandhill Lane, Eridge",51.074797,0.211736
